ID_RA;ANO;COD_NATUREZA;MES;QUANTIDADE
29;2023;29;11;1
29;2023;29;12;0
29;2023;30;1;0
29;2023;30;2;0
29;2023;30;3;0
29;2023;30;4;0
29;2023;30;5;0
29;2023;30;6;0
29;2023;30;7;0
29;2023;30;8;0
29;2023;30;9;0
29;2023;30;10;0
29;2023;30;11;0
29;2023;30;12;0
29;2023;3;1;2
29;2023;3;2;4
29;2023;3;3;4
29;2023;3;4;0
29;2023;3;5;2
29;2023;3;6;3
29;2023;3;7;1
29;2023;3;8;5
29;2023;3;9;2
29;2023;3;10;2
29;2023;3;11;3
29;2023;3;12;3
29;2023;8;1;0
29;2023;8;2;0
29;2023;8;3;1
29;2023;8;4;0
29;2023;8;5;0
29;2023;8;6;0
29;2023;8;7;0
29;2023;8;8;0
29;2023;8;9;0
29;2023;8;10;1
29;2023;8;11;1
29;2023;8;12;0
29;2023;4;1;0
29;2023;4;2;0
29;2023;4;3;0
29;2023;4;4;0
29;2023;4;5;0
29;2023;4;6;0
29;2023;4;7;0
29;2023;4;8;0
29;2023;4;9;0
29;2023;4;10;0
29;2023;4;11;0
29;2023;4;12;0
29;2023;31;1;1
29;2023;31;2;1
29;2023;31;3;0
29;2023;31;4;0
29;2023;31;5;1
29;2023;31;6;0
29;2023;31;7;0
29;2023;31;8;0
29;2023;31;9;0
29;2023;31;10;0
29;2023;31;11;0
29;2023;31;12;0
29;2023;6;1;0
29;2023;6;2;0
29;2023;6;3;0
29;2023;6;4;0
29;2023;6;5;0
29;2023;6;6;0
29;2023;6;7;0
29;2023;6;8;0
29;2023;6;9;0
29;2023;6;10;0
29;2023;6;11;0
29;2023;6;12;0
29;2023;13;1;0
29;2023;13;2;1
29;2023;13;3;0
29;2023;13;4;0
29;2023;13;5;0
29;2023;13;6;0
29;2023;13;7;0
29;2023;13;8;0
29;2023;13;9;0
29;2023;13;10;0
29;2023;13;11;0
29;2023;13;12;0
29;2023;19;1;0
29;2023;19;2;0
29;2023;19;3;0
29;2023;19;4;0
29;2023;19;5;0
29;2023;19;6;0
29;2023;19;7;0
29;2023;19;8;0
29;2023;19;9;0
29;2023;19;10;0
29;2023;19;11;0
29;2023;19;12;0
29;2023;11;1;0
29;2023;11;2;0
29;2023;11;3;0
29;2023;11;4;1
29;2023;11;5;0
29;2023;11;6;0
29;2023;11;7;0
29;2023;11;8;0
29;2023;11;9;0
29;2023;11;10;1
29;2023;11;11;0
29;2023;11;12;0
29;2023;32;1;1
29;2023;32;2;4
29;2023;32;3;4
29;2023;32;4;4
29;2023;32;5;2
29;2023;32;6;1
29;2023;32;7;6
29;2023;32;8;2
29;2023;32;9;1
29;2023;32;10;3
29;2023;32;11;4
29;2023;32;12;4
29;2024;1;1;0
29;2024;1;2;0
29;2024;1;3;0
29;2024;1;4;0
29;2024;1;5;0
29;2024;1;6;0
29;2024;1;7;0
29;2024;1;8;0
29;2024;1;9;0
29;2024;1;10;1
29;2024;1;11;1
29;2024;1;12;0
29;2024;2;1;0
29;2024;2;2;1
29;2024;2;3;0
29;2024;2;4;1
29;2024;2;5;0
29;2024;2;6;0
29;2024;2;7;2
29;2024;2;8;0
29;2024;2;9;0
29;2024;2;10;2
29;2024;2;11;0
29;2024;2;12;0
29;2024;23;1;11
29;2024;23;2;2
29;2024;23;3;4
29;2024;23;4;10
29;2024;23;5;8
29;2024;23;6;2
29;2024;23;7;2
29;2024;23;8;5
29;2024;23;9;6
29;2024;23;10;10
29;2024;23;11;6
29;2024;23;12;1
29;2024;7;1;0
29;2024;7;2;0
29;2024;7;3;0
29;2024;7;4;0
29;2024;7;5;0
29;2024;7;6;0
29;2024;7;7;0
29;2024;7;8;0
29;2024;7;9;0
29;2024;7;10;0
29;2024;7;11;0
29;2024;7;12;0
29;2024;27;1;0
29;2024;27;2;0
29;2024;27;3;0
29;2024;27;4;0
29;2024;27;5;0
29;2024;27;6;0
29;2024;27;7;0
29;2024;27;8;0
29;2024;27;9;0
29;2024;27;10;0
29;2024;27;11;0
29;2024;27;12;0
29;2024;28;1;0
29;2024;28;2;0
29;2024;28;3;0
29;2024;28;4;0
29;2024;28;5;0
29;2024;28;6;0
29;2024;28;7;0
29;2024;28;8;0
29;2024;28;9;0
29;2024;28;10;0
29;2024;28;11;0
29;2024;28;12;0
29;2024;29;1;0
29;2024;29;2;0
29;2024;29;3;1
29;2024;29;4;0
29;2024;29;5;1
29;2024;29;6;0
29;2024;29;7;0
29;2024;29;8;0
29;2024;29;9;1
29;2024;29;10;1
29;2024;29;11;0
29;2024;29;12;1
29;2024;30;1;0
29;2024;30;2;0
29;2024;30;3;0
29;2024;30;4;1
29;2024;30;5;0
29;2024;30;6;0
29;2024;30;7;0
29;2024;30;8;0
29;2024;30;9;1
29;2024;30;10;0
29;2024;30;11;0
29;2024;30;12;0
29;2024;3;1;1
29;2024;3;2;3
29;2024;3;3;2
29;2024;3;4;2
29;2024;3;5;3
29;2024;3;6;2
29;2024;3;7;2
29;2024;3;8;2
29;2024;3;9;3
29;2024;3;10;1
29;2024;3;11;2
29;2024;3;12;0
29;2024;8;1;0
29;2024;8;2;0
29;2024;8;3;1
29;2024;8;4;0
29;2024;8;5;0
29;2024;8;6;0
29;2024;8;7;0
29;2024;8;8;0
29;2024;8;9;0
29;2024;8;10;0
29;2024;8;11;1
29;2024;8;12;0
29;2024;4;1;1
29;2024;4;2;0
29;2024;4;3;0
29;2024;4;4;1
29;2024;4;5;0
29;2024;4;6;0
29;2024;4;7;0
29;2024;4;8;0
29;2024;4;9;1
29;2024;4;10;0
29;2024;4;11;0
29;2024;4;12;0
29;2024;31;1;1
29;2024;31;2;0
29;2024;31;3;0
29;2024;31;4;0
29;2024;31;5;0
29;2024;31;6;0
29;2024;31;7;0
29;2024;31;8;0
29;2024;31;9;0
29;2024;31;10;0
29;2024;31;11;1
29;2024;31;12;0
29;2024;6;1;0
29;2024;6;2;0
29;2024;6;3;0
29;2024;6;4;0
29;2024;6;5;0
29;2024;6;6;0
29;2024;6;7;0
29;2024;6;8;0
29;2024;6;9;0
29;2024;6;10;0
29;2024;6;11;0
29;2024;6;12;0
29;2024;13;1;0
29;2024;13;2;0
29;2024;13;3;0
29;2024;13;4;0
29;2024;13;5;1
29;2024;13;6;0
29;2024;13;7;0
29;2024;13;8;0
29;2024;13;9;0
29;2024;13;10;0
29;2024;13;11;0
29;2024;13;12;0
29;2024;19;1;0
29;2024;19;2;0
29;2024;19;3;0
29;2024;19;4;0
29;2024;19;5;0
29;2024;19;6;0
29;2024;19;7;0
29;2024;19;8;0
29;2024;19;9;0
29;2024;19;10;0
29;2024;19;11;0
29;2024;19;12;0
