ID_RA;RA;ANO;NATUREZA;COD_NATUREZA;MÊS;QUANTIDADE
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;2;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;3;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;4;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;5;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;6;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;7;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;8;1
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;9;1
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;10;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;11;0
1;ARNIQUEIRA;2020;TENTATIVA DE LATROCÍNIO;19;12;0
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;1;3
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;2;4
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;3;3
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;4;3
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;5;8
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;6;2
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;7;1
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;8;3
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;9;3
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;10;4
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;11;4
1;ARNIQUEIRA;2020;TRÁFICO DE DROGAS;11;12;3
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;1;7
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;2;12
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;3;9
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;4;4
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;5;7
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;6;5
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;7;5
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;8;4
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;9;11
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;10;12
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;11;6
1;ARNIQUEIRA;2020;USO E PORTE DE DROGAS;32;12;9
1;ARNIQUEIRA;2021;ESTUPRO;1;1;1
1;ARNIQUEIRA;2021;ESTUPRO;1;2;0
1;ARNIQUEIRA;2021;ESTUPRO;1;3;1
1;ARNIQUEIRA;2021;ESTUPRO;1;4;0
1;ARNIQUEIRA;2021;ESTUPRO;1;5;0
1;ARNIQUEIRA;2021;ESTUPRO;1;6;0
1;ARNIQUEIRA;2021;ESTUPRO;1;7;0
1;ARNIQUEIRA;2021;ESTUPRO;1;8;1
1;ARNIQUEIRA;2021;ESTUPRO;1;9;0
1;ARNIQUEIRA;2021;ESTUPRO;1;10;0
1;ARNIQUEIRA;2021;ESTUPRO;1;11;1
1;ARNIQUEIRA;2021;ESTUPRO;1;12;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;1;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;2;3
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;3;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;4;1
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;5;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;6;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;7;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;8;2
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;9;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;10;0
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;11;1
1;ARNIQUEIRA;2021;FURTO A TRANSEUNTE;2;12;0
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;1;3
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;2;6
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;3;4
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;4;6
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;5;1
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;6;1
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;7;3
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;8;3
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;9;5
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;10;2
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;11;9
1;ARNIQUEIRA;2021;FURTO EM VEÍCULO;23;12;4
1;ARNIQUEIRA;2021;HOMICÍDIO;7;1;1
1;ARNIQUEIRA;2021;HOMICÍDIO;7;2;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;3;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;4;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;5;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;6;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;7;1
1;ARNIQUEIRA;2021;HOMICÍDIO;7;8;1
1;ARNIQUEIRA;2021;HOMICÍDIO;7;9;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;10;1
1;ARNIQUEIRA;2021;HOMICÍDIO;7;11;0
1;ARNIQUEIRA;2021;HOMICÍDIO;7;12;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;1;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;2;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;3;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;4;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;5;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;6;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;7;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;8;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;9;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;10;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;11;0
1;ARNIQUEIRA;2021;LATROCÍNIO;27;12;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;1;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;2;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;3;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;4;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;5;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;6;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;7;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;8;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;9;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;10;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;11;0
1;ARNIQUEIRA;2021;LESÃO CORPORAL SEG. DE MORTE;28;12;0
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;1;2
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;2;1
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;3;5
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;4;5
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;5;2
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;6;1
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;7;1
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;8;5
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;9;4
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;10;5
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;11;1
1;ARNIQUEIRA;2021;LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29;12;2
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;1;0
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;2;4
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;3;2
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;4;0
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;5;1
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;6;0
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;7;1
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;8;2
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;9;1
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;10;0
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;11;1
1;ARNIQUEIRA;2021;POSSE/PORTE DE ARMA;30;12;1
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;1;11
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;2;8
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;3;6
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;4;9
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;5;3
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;6;0
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;7;4
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;8;15
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;9;21
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;10;23
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;11;6
1;ARNIQUEIRA;2021;ROUBO A TRANSEUNTE;3;12;6
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;1;2
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;2;1
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;3;1
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;4;2
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;5;0
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;6;1
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;7;0
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;8;5
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;9;2
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;10;4
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;11;0
1;ARNIQUEIRA;2021;ROUBO DE VEÍCULO;8;12;1
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;1;1
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;2;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;3;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;4;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;5;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;6;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;7;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;8;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;9;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;10;1
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;11;0
1;ARNIQUEIRA;2021;ROUBO EM COLETIVO;4;12;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;1;2
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;2;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;3;1
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;4;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;5;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;6;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;7;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;8;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;9;2
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;10;1
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;11;0
1;ARNIQUEIRA;2021;ROUBO EM COMÉRCIO *;31;12;2
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;1;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;2;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;3;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;4;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;5;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;6;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;7;1
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;8;1
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;9;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;10;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;11;0
1;ARNIQUEIRA;2021;ROUBO EM RESIDÊNCIA;6;12;0
1;ARNIQUEIRA;2021;TENTATIVA DE HOMICÍDIO;13;1;1
1;ARNIQUEIRA;2021;TENTATIVA DE HOMICÍDIO;13;2;0
